Chile,94909,2516,89416,2977,"Valparaiso, Chile",5226.548569,2.650960394
China,1002,6,989,7,"Anhui, China",1.584440228,0.598802395
China,1058,9,1046,3,"Beijing, China",4.911792015,0.850661626
China,598,6,586,6,"Chongqing, China",1.927788524,1.003344482
China,613,1,585,27,"Fujian, China",1.555442781,0.163132137
China,194,2,191,1,"Gansu, China",0.73568449,1.030927835
China,2412,8,2359,45,"Guangdong, China",2.125859334,0.331674959
China,275,2,267,6,"Guangxi, China",0.558262282,0.727272727
China,147,2,145,0,"Guizhou, China",0.408333333,1.360544218
China,188,6,176,6,"Hainan, China",2.012847966,3.191489362
China,1317,7,1310,0,"Hebei, China",1.742985707,0.53151101
China,1612,13,1597,2,"Heilongjiang, China",4.272462232,0.806451613
China,1314,22,1289,3,"Henan, China",1.36803748,1.674277017
China,11832,210,11553,69,"Hong Kong, China",157.8233819,1.77484787
China,68159,4512,63645,2,"Hubei, China",115.1918202,6.619815432
China,1050,4,1039,7,"Hunan, China",1.521959704,0.380952381
China,385,1,381,3,"Inner Mongolia, China",1.519337017,0.25974026
China,723,0,713,10,"Jiangsu, China",0.89802509,0
China,937,1,936,0,"Jiangxi, China",2.015920826,0.106723586
China,573,3,570,0,"Jilin, China",2.11908284,0.523560209
China,425,2,406,17,"Liaoning, China",0.974994265,0.470588235
China,50,0,49,1,"Macau, China",7.700102565,0
China,76,0,75,1,"Ningxia, China",1.104651163,0
China,18,0,18,0,"Qinghai, China",0.298507463,0
China,611,3,591,17,"Shaanxi, China",1.58126294,0.490998363
China,883,7,872,4,"Shandong, China",0.878869314,0.792751982
China,2069,7,1996,66,"Shanghai, China",8.535478548,0.338327695
China,251,0,247,4,"Shanxi, China",0.675094137,0
China,1015,3,979,33,"Sichuan, China",1.21688047,0.295566502
China,391,3,379,9,"Tianjin, China",2.506410256,0.767263427
China,1,0,1,0,"Tibet, China",0.029069767,0
China,0,0,14,-14,"Unknown, China",0,0
China,980,3,977,0,"Xinjiang, China",3.940490551,0.306122449
China,352,2,327,23,"Yunnan, China",0.728778468,0.568181818
China,1362,1,1324,37,"Zhejiang, China",2.374063099,0.073421439
Colombia,6311,239,6020,52,"Amazonas, Colombia",8240.086697,3.787038504
Colombia,518811,11495,491139,16177,"Antioquia, Colombia",8097.436251,2.215643076
Colombia,7341,214,6821,306,"Arauca, Colombia",2800.048823,2.915134178
Colombia,266065,8253,252091,5721,"Atlantico, Colombia",10493.52065,3.101873602
Colombia,96677,1867,92117,2693,"Bolivar, Colombia",4670.138302,1.931172875
Colombia,62560,1461,58555,2544,"Boyaca, Colombia",5138.921746,2.335358056
Colombia,68106,1411,64654,2041,"Caldas, Colombia",6822.505272,2.071770475
Colombia,903121,17992,833744,51385,"Capital District, Colombia",12183.64869,1.992202595
